"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2303_C01_001E","Total!!Estimate!!Population 16 to 64 years"
"S2303_C01_001M","Total!!Margin of Error!!Population 16 to 64 years"
"S2303_C02_001E","Percent Total!!Estimate!!Population 16 to 64 years"
"S2303_C02_001M","Percent Total!!Margin of Error!!Population 16 to 64 years"
"S2303_C03_001E","Male!!Estimate!!Population 16 to 64 years"
"S2303_C03_001M","Male!!Margin of Error!!Population 16 to 64 years"
"S2303_C04_001E","Percent Male!!Estimate!!Population 16 to 64 years"
"S2303_C04_001M","Percent Male!!Margin of Error!!Population 16 to 64 years"
"S2303_C05_001E","Female!!Estimate!!Population 16 to 64 years"
"S2303_C05_001M","Female!!Margin of Error!!Population 16 to 64 years"
"S2303_C06_001E","Percent Female!!Estimate!!Population 16 to 64 years"
"S2303_C06_001M","Percent Female!!Margin of Error!!Population 16 to 64 years"
"S2303_C01_002E","Total!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C01_002M","Total!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C02_002E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C02_002M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C03_002E","Male!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C03_002M","Male!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C04_002E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C04_002M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C05_002E","Female!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C05_002M","Female!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C06_002E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C06_002M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks"
"S2303_C01_003E","Total!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C01_003M","Total!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C02_003E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C02_003M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C03_003E","Male!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C03_003M","Male!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C04_003E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C04_003M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C05_003E","Female!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C05_003M","Female!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C06_003E","Percent Female!!Estimate!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C06_003M","Percent Female!!Margin of Error!!WEEKS WORKED!!Worked 48 to 49 weeks"
"S2303_C01_004E","Total!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C01_004M","Total!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C02_004E","Percent Total!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C02_004M","Percent Total!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C03_004E","Male!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C03_004M","Male!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C04_004E","Percent Male!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C04_004M","Percent Male!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C05_004E","Female!!Estimate!!WEEKS WORKED!!Worked 40 to 47 weeks"
"S2303_C05_004M","Female!!Margin of Error!!WEEKS WORKED!!Worked 40 to 47 weeks"
