,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2018_pov_children,22.1,7.4,25.5,27.5,24.5,17.8,14.9,32.3,13.3,16.9,7.1,16.3,12.4,26.3,34.6,27.7,11.6,16.5,1.9,10.1
2018_pov_children_error,11.4,3.8,9.6,3.6,9.7,4.2,2.8,8.1,6.1,4.4,5.9,6.4,3.9,8.9,4.1,6.8,3.3,5.5,1.2,5.0
2018_pov_adult,21.5,9.8,13.3,12.7,12.5,12.7,14.2,16.8,9.5,12.1,17.1,9.7,11.3,13.5,18.6,15.6,7.7,15.1,3.4,8.1
2018_pov_adult_error,5.9,1.9,3.4,1.2,3.1,1.5,1.5,3.3,2.8,2.3,3.7,2.9,1.8,2.8,1.4,2.7,1.5,2.4,1.3,2.4
2018_pov_no_hs,43.2,24.6,31.3,28.9,18.8,30.2,32.9,23.7,27.6,32.4,23.2,14.7,20.9,22.1,35.6,31.8,13.9,26.2,9.5,19.5
2018_pov_no_hs_error,15.5,7.8,12.5,4.5,8.5,6.1,6.7,8.0,10.8,10.1,11.6,8.4,8.1,9.1,4.8,6.2,4.4,12.7,6.3,8.1
2018_pov_bach,4.6,2.1,6.9,4.3,4.1,3.7,3.2,2.0,2.4,4.0,1.6,1.5,4.8,3.7,5.5,4.7,3.5,7.0,1.4,1.7
2018_pov_bach_error,2.8,1.5,5.1,0.8,4.1,1.3,0.9,1.9,2.8,1.6,1.3,1.2,2.0,3.2,1.5,1.7,1.7,3.2,0.6,1.3
2018_pov_employed,11.9,4.9,8.0,7.9,6.4,6.8,7.3,7.6,3.9,7.1,9.6,3.5,6.5,8.4,8.9,7.6,3.2,8.1,2.5,2.6
2018_pov_employed_error,4.4,1.6,2.5,0.9,2.4,1.3,1.2,2.6,1.8,1.6,3.2,1.6,1.5,2.4,1.0,1.7,0.9,2.3,1.1,1.3
2018_pov_no_work,24.4,15.1,20.4,23.8,18.0,18.7,21.5,20.9,17.5,17.1,19.8,19.5,17.0,16.6,30.6,21.1,17.8,23.1,6.5,17.2
2018_pov_no_work_error,5.7,3.2,6.3,2.5,5.6,2.4,2.5,5.0,4.9,3.9,4.3,4.8,3.4,5.1,2.4,3.5,2.9,4.3,2.1,4.1
