,Anderson,Blount,Bradley,Davidson,Greene,Hamilton,Knox,Madison,Maury,Montgomery,Putnam,Robertson,Rutherford,Sevier,Shelby,Sullivan,Sumner,Washington,Williamson,Wilson
2015_median_household_income,42744,49134,42922,52026,34768,48580,52229,47801,50707,48659,40623,53204,60043,42107,47083,42012,59753,45484,102881,64476
2015_median_income_error,3992,4032,3065,1366,3121,2897,1724,3835,2422,3446,3695,3907,2524,3446,1324,2948,3849,4323,5602,6249
2015_mean_household_income,64741,69463,65371,74479,53180,68277,71235,66565,69151,59808,54684,65232,72790,58829,69389,59433,76310,63720,139896,82508
2015_mean_income_error,9750,7164,9418,2633,6781,2392,2326,6944,11857,2436,5226,5021,3080,6180,2167,3269,4769,5390,7218,5578
2016_median_household_income,46055,51183,44853,54855,41109,47898,52102,41791,50591,56112,37437,60423,61157,45609,47690,42859,60503,46276,106054,71153
2016_median_income_error,5106,2059,3202,2291,2427,2625,1867,2879,2647,3259,5732,5914,1718,2290,1986,2576,3522,2735,5194,2996
2016_mean_household_income,61601,66674,59809,78234,60485,71471,72285,58283,64296,65397,56080,74977,75267,56756,70860,58135,78533,62660,137681,84232
2016_mean_income_error,4376,3980,4639,2429,8852,3462,2221,4092,4831,3174,5108,8166,2771,4632,2067,3055,4656,4283,6693,4197
2017_median_household_income,48109,50675,48857,58490,37920,51302,55266,45013,57258,58381,39647,60474,68514,49963,49647,44909,65014,40697,105622,69959
2017_median_income_error,5663,2864,5506,2466,6194,3226,1750,4711,5141,3502,5488,4325,3017,3674,1745,3388,2775,3322,7697,4384
2017_mean_household_income,69687,72103,62902,82600,51332,76230,79379,63174,73586,74219,56471,76340,84383,61472,74498,66605,88519,64451,139874,84880
2017_mean_income_error,8264,8018,3975,2562,4195,3656,2839,5702,8797,4953,5299,6231,3922,6856,2359,4962,6569,4787,6302,4513
2018_median_household_income,50616,58809,50560,60856,47383,57280,55632,45360,53794,56019,45199,69079,63739,47411,47500,44652,65948,48765,110700,76756
2018_median_income_error,3864,4446,3023,1690,6574,2712,2280,3510,8436,4027,4066,5733,2605,5282,2160,4723,2156,4700,7754,4344
2018_mean_household_income,65130,74417,69462,87535,61071,79174,77584,67782,72552,71266,61425,83572,77231,60363,70862,65798,88937,68336,144348,90808
2018_mean_income_error,3864,4446,3023,1690,6574,2712,2280,3510,8436,4027,4066,5733,2605,5282,2160,4723,2156,4700,7754,4344
2019_median_household_income,49044,59276,52468,63938,44722,57502,60283,49820,66781,56948,49282,66939,69397,57741,52614,51860,68743,51428,115507,80071
2019_median_income_error,5511,4526,5149,2439,5473,2831,2427,3970,2585,4433,4756,6714,3316,5866,2477,4362,3889,5236,7624,6534
2019_mean_household_income,65367,75208,66632,92592,60317,82222,83334,61377,80635,71883,63818,83276,85374,71579,80016,69377,94687,73919,155149,99956
2019_mean_income_error,6155,4080,4372,3086,6299,3442,2819,3977,5116,3579,5225,8631,3853,7930,2576,4963,7831,5905,7911,6046
